Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Priority,Acceptance_Criteria,Notes
Residential - Reporting,Visualization,Report Preview,Build preview,Table view,-,Create preview,2,Sprint 9,P0,Table displays,
Residential - Reporting,Visualization,Report Preview,Build preview,Chart views,-,Create preview,4,Sprint 9,P0,Charts render,Bar line pie
Residential - Reporting,Visualization,Widgets,Build widgets,Create DashboardWidget.tsx,DashboardWidget.tsx,Build preview,3,Sprint 9,P0,Widgets work,Embeddable
Residential - Reporting,Visualization,Export,Build export,Export PDF,-,Build preview,3,Sprint 9,P0,PDFs download,
Residential - Reporting,Visualization,Export,Build export,Export Excel,-,Build preview,2,Sprint 9,P0,Excel works,
Residential - Reporting,Visualization,Export,Build export,Export CSV,-,Build preview,1,Sprint 9,P0,CSV works,

Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,Create SalesReports.tsx,SalesReports.tsx,Build engine,4,Sprint 9,P0,Sales reports work,
Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,TM sales report,-,Create component,2,Sprint 9,P0,Revenue by TM,KEY: TM performance
Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,RM sales report,-,Create component,2,Sprint 9,P0,RM roll-up,
Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,Affinity group report,-,Create component,2,Sprint 9,P0,Group roll-up,
Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,Ownership group report,-,Create component,2,Sprint 9,P0,Ownership roll-up,
Residential - Reporting,Pre-Built Reports,Sales Reports,Build sales reports,YoY comparison,-,Create component,3,Sprint 10,P1,YoY accurate,
Residential - Reporting,Pre-Built Reports,Templates,Build templates,Create ReportTemplates.tsx,ReportTemplates.tsx,Build reports,3,Sprint 9,P1,Templates save,
Residential - Reporting,Pre-Built Reports,Filters,Build filters,Create ReportFilters.tsx,ReportFilters.tsx,Build builder,3,Sprint 9,P0,Filters reusable,

Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,Create ExecutiveDashboard.tsx,ExecutiveDashboard.tsx,Build reports,6,Sprint 10,P0,Currie's dashboard,KEY: VP overview
Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,Total trainings widget,-,Create dashboard,2,Sprint 10,P0,Count accurate,
Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,Revenue widget,-,Create dashboard,2,Sprint 10,P0,Revenue from Acu,
Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,TM leaderboard,-,Create dashboard,3,Sprint 10,P0,Rankings visible,
Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,Territory map,-,Create dashboard,3,Sprint 10,P0,Map renders,
Residential - Dashboards,Role Dashboards,Executive Dashboard,Build VP dashboard,Trend charts,-,Create dashboard,2,Sprint 10,P0,Trends visible,
Residential - Dashboards,Role Dashboards,TM Dashboard,Build TM dashboard,TM-specific view,-,Build reports,5,Sprint 10,P0,TM sees their data,
Residential - Dashboards,Role Dashboards,TM Dashboard,Build TM dashboard,Today's schedule,-,TM view,2,Sprint 10,P0,Schedule visible,
Residential - Dashboards,Role Dashboards,TM Dashboard,Build TM dashboard,My customers,-,TM view,2,Sprint 10,P0,Customer list,
Residential - Dashboards,Role Dashboards,TM Dashboard,Build TM dashboard,My performance,-,TM view,2,Sprint 10,P0,Self-assessment,
Residential - Dashboards,Role Dashboards,RM Dashboard,Build RM dashboard,RM-specific view,-,Build reports,5,Sprint 10,P0,RM sees team data,
Residential - Dashboards,Role Dashboards,RM Dashboard,Build RM dashboard,Team leaderboard,-,RM view,2,Sprint 10,P0,TM rankings,
Residential - Dashboards,Role Dashboards,RM Dashboard,Build RM dashboard,Team trainings,-,RM view,2,Sprint 10,P0,All TM trainings,
Residential - Dashboards,Dashboard Customization,Widget System,Build customizer,Create DashboardCustomizer.tsx,DashboardCustomizer.tsx,Build dashboards,5,Sprint 11,P1,Widgets movable,Drag-drop
Residential - Dashboards,Dashboard Customization,Widget System,Build customizer,Widget library,-,Create customizer,3,Sprint 11,P1,Widget options,
Residential - Dashboards,Dashboard Customization,Widget System,Build customizer,Save layout,-,Create customizer,2,Sprint 11,P1,Layout saves,
Residential - Dashboards,Dashboard Customization,Personalization,Build personalization,User preferences,-,Build customizer,2,Sprint 11,P1,Per-user config,
Residential - Dashboards,Dashboard Customization,Personalization,Build personalization,Default by role,-,User prefs,1,Sprint 11,P1,Defaults apply,
Residential - Reporting,Report Scheduling,Scheduler,Build scheduler,Create ReportScheduler.tsx,ReportScheduler.tsx,Build reports,4,Sprint 10,P1,Reports scheduled,
Residential - Reporting,Report Scheduling,Scheduler,Build scheduler,Daily/weekly/monthly,-,Create scheduler,2,Sprint 10,P1,Recurrence works,
Residential - Reporting,Report Scheduling,Scheduler,Build scheduler,Recipients list,-,Create scheduler,1,Sprint 10,P1,Recipients receive,
Residential - Reporting,Report Scheduling,Scheduler,Build scheduler,Format selection,-,Create scheduler,1,Sprint 10,P1,PDF/Excel,
Residential - Reporting,Report Scheduling,Background Jobs,Build job system,Cron-based execution,-,Build scheduler,3,Sprint 10,P1,Jobs run on schedule,
Residential - Reporting,Report Scheduling,Background Jobs,Build job system,Job monitoring,-,Cron setup,2,Sprint 10,P1,Status visible,

Integration - Acumatica,API Setup,Research,Research API,Document endpoints,-,None,4,Sprint 4,P0,API docs complete,Customer Order Invoice
Integration - Acumatica,API Setup,Authentication,Setup auth,OAuth or API key,-,Research API,3,Sprint 4,P0,Auth works,
Integration - Acumatica,API Setup,Service Layer,Build service,Abstract API calls,-,Setup auth,4,Sprint 4,P0,Service layer created,
Integration - Acumatica,API Setup,Error Handling,Build error handling,Retry logic and logging,-,Build service,2,Sprint 4,P0,Errors handled,
Integration - Acumatica,Customer Sync,Sync Service,Build sync,One-way sync Acu to CRM,-,Build service,6,Sprint 5,P0,Single source of truth,KEY: Acumatica sync
Integration - Acumatica,Customer Sync,Sync Service,Build sync,Field mapping,-,Build sync,3,Sprint 5,P0,All fields mapped,
Integration - Acumatica,Customer Sync,Sync Service,Build sync,Incremental sync,-,Build sync,3,Sprint 5,P0,Efficient syncing,
Integration - Acumatica,Customer Sync,Monitoring,Build monitoring,Create DataSynchronizationInterface.tsx,DataSynchronizationInterface.tsx,Build sync,4,Sprint 5,P1,Sync health visible,
Integration - Acumatica,Customer Sync,Monitoring,Build monitoring,Error dashboard,-,Create interface,2,Sprint 5,P1,Errors flagged,
Integration - Acumatica,Customer Sync,Monitoring,Build monitoring,Manual retry,-,Create interface,1,Sprint 5,P1,Manual intervention,
Integration - Acumatica,Order Sync,Sync Service,Build order sync,Read-only sync Acu to CRM,-,Build service,6,Sprint 6,P0,Orders visible in CRM,KEY: Order display
Integration - Acumatica,Order Sync,Sync Service,Build order sync,Order history display,-,Build sync,3,Sprint 6,P0,Orders on customer page,
Integration - Acumatica,Order Sync,Sync Service,Build order sync,Status tracking,-,Build sync,2,Sprint 6,P0,Status accurate,
Integration - Acumatica,Order Sync,Order Display,Build order UI,Create CustomerOrders.tsx,CustomerOrders.tsx,Build sync,4,Sprint 6,P0,Orders display,
Integration - Acumatica,Order Sync,Order Display,Build order UI,Order detail view,-,Create component,3,Sprint 6,P0,Full order visible,
Integration - Acumatica,Order Sync,Order Display,Build order UI,Tracking info display,-,Create component,2,Sprint 6,P0,Tracking links work,
Integration - Acumatica,Financial Sync,Sync Service,Build financial sync,Revenue payment data,-,Build service,6,Sprint 6,P0,Financial data in CRM,
Integration - Acumatica,Financial Sync,Reports,Financial reports,Accurate sales reports,-,Build sync,4,Sprint 7,P0,Reports use Acu data,
Integration - Acumatica,Sync Monitoring,Health Check,Build health check,Create IntegrationStatusMonitor.tsx,IntegrationStatusMonitor.tsx,Build syncs,4,Sprint 7,P1,Error tracking alerts,
Integration - Acumatica,Sync Monitoring,Simulation,Build simulation,Create IntegrationSimulationDashboard.tsx,IntegrationSimulationDashboard.tsx,Build health,3,Sprint 7,P2,Test integrations,
Integration - Acumatica,Sync Monitoring,Scheduling,Scheduled jobs,Hourly or realtime sync,-,Build syncs,3,Sprint 6,P0,Jobs run reliably,

Integration - HubSpot,API Setup,Research,Research API,HubSpot documentation,-,None,2,Sprint 4,P1,API understood,
Integration - HubSpot,API Setup,Authentication,Setup OAuth,HubSpot app auth,-,Research API,3,Sprint 4,P1,Auth flow works,
Integration - HubSpot,Lead Import,Import Service,Build import,Fetch leads from HubSpot,-,Setup OAuth,4,Sprint 4,P1,Leads import,
Integration - HubSpot,Lead Import,Import Service,Build import,Field mapping,-,Build import,3,Sprint 4,P1,Michelle's field mapping,KEY: Field mapping
Integration - HubSpot,Lead Import,Import Service,Build import,Duplicate detection,-,Build import,2,Sprint 4,P1,No duplicates,
Integration - HubSpot,Scheduled Sync,Sync Jobs,Scheduled sync,Cron job hourly,-,Build import,3,Sprint 5,P1,Syncs every hour,
Integration - HubSpot,Scheduled Sync,Sync Jobs,Scheduled sync,Sync status UI,-,Cron job,2,Sprint 5,P1,Admins monitor,
Integration - HubSpot,Scheduled Sync,Sync Jobs,Scheduled sync,Manual sync trigger,-,Cron job,1,Sprint 5,P1,On-demand sync,

Integration - Email,Outlook Setup,Graph API,Setup Graph,Authentication,-,Configure database,3,Sprint 8,P1,Auth works,
Integration - Email,Outlook Setup,Graph API,Setup Graph,Permissions,-,Setup auth,2,Sprint 8,P1,Permissions granted,
Integration - Email,Email Tracking,Tracking Service,Build tracking,Log emails to CRM,-,Setup Graph,4,Sprint 8,P1,Emails logged,
Integration - Email,Email Tracking,Tracking Service,Build tracking,Email thread view,-,Build tracking,3,Sprint 8,P1,Threads visible,
Integration - Email,Notifications,Templates,Design templates,HTML email templates,-,Configure database,3,Sprint 6,P0,Templates render,
Integration - Email,Notifications,Service,Build notification service,SendGrid integration,-,Design templates,4,Sprint 6,P0,Emails delivered,
Integration - Email,Notifications,Preferences,Build preferences,User opt-in/out,-,Build service,3,Sprint 6,P1,Preferences work,

Notifications,Notification System,Architecture,Design architecture,Event-driven system,-,Configure database,4,Sprint 6,P0,Events trigger notifications,
Notifications,Notification System,Architecture,Design architecture,Notification types,-,Design architecture,2,Sprint 6,P0,Types supported,Email In-app SMS
Notifications,Notification System,Service,Build service,Create send notifications,-,Design architecture,6,Sprint 6,P0,Notifications sent,
Notifications,Notification System,Service,Build service,Queue management,-,Build service,2,Sprint 6,P0,No blocking,
Notifications,Notification System,Service,Build service,Retry logic,-,Build service,2,Sprint 6,P0,Retries work,
Notifications,Notification UI,Center,Build center,In-app notification list,-,Build service,4,Sprint 6,P0,Notifications display,
Notifications,Notification UI,Center,Build center,Unread badges,-,Build center,1,Sprint 6,P0,Badge updates,
Notifications,Notification UI,Center,Build center,Mark as read,-,Build center,1,Sprint 6,P0,Read status works,
Notifications,Notification UI,Settings,Build settings,Notification settings page,-,Build center,3,Sprint 6,P1,Users control prefs,
Notifications,Residential Notif,Order Notifications,New order notif,Notify TM RM,-,Build service,1,Sprint 6,P0,Notified on order,
Notifications,Residential Notif,Order Notifications,Shipped notif,With tracking,-,Build service,1,Sprint 6,P0,Tracking included,
Notifications,Residential Notif,CIS Notifications,CIS received notif,On submission,-,Build parser,1,Sprint 5,P0,CIS notified,
Notifications,Residential Notif,Training Notif,Scheduled notif,Customer trainer notified,-,Build calendar,1,Sprint 7,P0,Training notified,
Notifications,Residential Notif,Training Notif,Reminder notif,Day before,-,Build calendar,1,Sprint 7,P1,Reminder sent,
Notifications,Residential Notif,Onboarding Notif,Step notif,On each step,-,Build engine,1,Sprint 6,P0,Steps notified,

Dealer Portal,Dealer Account,Authentication,Dealer registration,Create DealerRegistrationForm.tsx,DealerRegistrationForm.tsx,Setup auth,4,Sprint 11,P1,Registration works,
Dealer Portal,Dealer Account,Authentication,Dealer registration,Company lookup,-,Create form,2,Sprint 11,P1,Company found,
Dealer Portal,Dealer Account,Authentication,Dealer registration,Approval workflow,-,Create form,3,Sprint 11,P1,Approval required,
Dealer Portal,Dealer Account,Login,Build dealer login,Create DealerLoginForm.tsx,DealerLoginForm.tsx,Build registration,3,Sprint 11,P1,Login works,
Dealer Portal,Dealer Account,Login,Build dealer login,Separate auth provider,-,Create form,2,Sprint 11,P1,Separate from internal,
Dealer Portal,Dealer Account,Profile,Build dealer profile,Create DealerProfileManagement.tsx,DealerProfileManagement.tsx,Build login,3,Sprint 11,P1,Profile editable,
Dealer Portal,Dealer Account,Profile,Build dealer profile,Company info,-,Create profile,2,Sprint 11,P1,Company info saved,
Dealer Portal,Dealer Account,Profile,Build dealer profile,Preferences,-,Create profile,2,Sprint 11,P1,Preferences saved,
Dealer Portal,Dealer Dashboard,Dashboard,Build dealer dashboard,Create DealerDashboard.tsx,DealerDashboard.tsx,Build profile,5,Sprint 11,P1,Dashboard renders,
Dealer Portal,Dealer Dashboard,Dashboard,Build dealer dashboard,Recent orders widget,-,Create dashboard,2,Sprint 11,P1,Orders visible,
Dealer Portal,Dealer Dashboard,Dashboard,Build dealer dashboard,Order status widget,-,Create dashboard,2,Sprint 11,P1,Status accurate,
Dealer Portal,Dealer Dashboard,Dashboard,Build dealer dashboard,Account summary,-,Create dashboard,2,Sprint 11,P1,Account info,
Dealer Portal,Dealer Dashboard,Dashboard,Build dealer dashboard,Quick actions,-,Create dashboard,2,Sprint 11,P1,Actions work,
Dealer Portal,Dealer Dashboard,Navigation,Build navigation,Create DealerNavigation.tsx,DealerNavigation.tsx,Build dashboard,2,Sprint 11,P1,Navigation works,

Dealer Portal,Product Catalog,Catalog View,Build catalog,Create ProductCatalog.tsx,ProductCatalog.tsx,Configure database,6,Sprint 12,P1,Browse catalog,KEY: Replace Shopify
Dealer Portal,Product Catalog,Catalog View,Build catalog,Grid view,-,Create catalog,2,Sprint 12,P1,Grid displays,
Dealer Portal,Product Catalog,Catalog View,Build catalog,List view,-,Create catalog,2,Sprint 12,P1,List displays,
Dealer Portal,Product Catalog,Catalog View,Build catalog,Category navigation,-,Create catalog,2,Sprint 12,P1,Categories work,
Dealer Portal,Product Catalog,Search,Build search,Search by name/SKU,-,Build catalog,3,Sprint 12,P1,Search accurate,
Dealer Portal,Product Catalog,Search,Build search,Advanced filters,-,Build search,3,Sprint 12,P1,Filters work,Price category availability
Dealer Portal,Product Catalog,Search,Build search,Sort options,-,Build search,2,Sprint 12,P1,Sort works,
Dealer Portal,Product Catalog,Product Details,Build detail,Create ProductDetailModal.tsx,ProductDetailModal.tsx,Build catalog,4,Sprint 12,P1,Details display,
Dealer Portal,Product Catalog,Product Details,Build detail,Specifications,-,Create modal,2,Sprint 12,P1,Specs visible,
Dealer Portal,Product Catalog,Product Details,Build detail,Pricing display,-,Create modal,2,Sprint 12,P1,Pricing accurate,
Dealer Portal,Product Catalog,Product Details,Build detail,Availability,-,Create modal,2,Sprint 12,P1,Stock accurate,
Dealer Portal,Product Catalog,Product Details,Build detail,Product images,-,Create modal,2,Sprint 12,P1,Images display,
Dealer Portal,Product Catalog,Comparison,Build comparison,Create ProductComparison.tsx,ProductComparison.tsx,Build detail,4,Sprint 12,P2,Side-by-side compare,
Dealer Portal,Product Catalog,Comparison,Build comparison,Select products,-,Create comparison,2,Sprint 12,P2,Selection works,
Dealer Portal,Product Catalog,Comparison,Build comparison,Compare table,-,Create comparison,2,Sprint 12,P2,Table displays,
Dealer Portal,Product Catalog,Favorites,Build favorites,Create ProductFavoritesManager.tsx,ProductFavoritesManager.tsx,Build catalog,3,Sprint 12,P2,Quick access,KEY: Frequent orders
Dealer Portal,Product Catalog,Favorites,Build favorites,Add to favorites,-,Create manager,1,Sprint 12,P2,Add works,
Dealer Portal,Product Catalog,Favorites,Build favorites,Favorites list,-,Create manager,2,Sprint 12,P2,List displays,
Dealer Portal,Product Catalog,Saved Searches,Build saved searches,Create SavedSearchManager.tsx,SavedSearchManager.tsx,Build search,3,Sprint 12,P2,Searches saved,
Dealer Portal,Product Catalog,Quick Search,Build quick search,Create QuickSearchAccess.tsx,QuickSearchAccess.tsx,Build search,2,Sprint 12,P2,Fast search,

Dealer Portal,Order Management,Shopping Cart,Build cart,Create ShoppingCart.tsx,ShoppingCart.tsx,Build catalog,5,Sprint 13,P1,Add to cart,KEY: Cart checkout
Dealer Portal,Order Management,Shopping Cart,Build cart,Add to cart button,-,Create cart,2,Sprint 13,P1,Products added,
Dealer Portal,Order Management,Shopping Cart,Build cart,Quantity update,-,Create cart,1,Sprint 13,P1,Quantities update,
Dealer Portal,Order Management,Shopping Cart,Build cart,Remove item,-,Create cart,1,Sprint 13,P1,Items removed,
Dealer Portal,Order Management,Shopping Cart,Build cart,Cart total,-,Create cart,1,Sprint 13,P1,Totals accurate,
Dealer Portal,Order Management,Shopping Cart,Build cart,Persist cart,-,Create cart,2,Sprint 13,P1,Cart persists,
Dealer Portal,Order Management,Checkout,Build checkout,Checkout workflow,-,Build cart,4,Sprint 13,P1,Checkout works,
Dealer Portal,Order Management,Checkout,Build checkout,Shipping address,-,Checkout workflow,2,Sprint 13,P1,Address works,
Dealer Portal,Order Management,Checkout,Build checkout,Order review,-,Checkout workflow,2,Sprint 13,P1,Review step,
Dealer Portal,Order Management,Checkout,Build confirmation,Create OrderConfirmation.tsx,OrderConfirmation.tsx,Build checkout,3,Sprint 13,P1,Confirmation displayed,
Dealer Portal,Order Management,Quick Order,Build quick order,Create QuickOrderManager.tsx,QuickOrderManager.tsx,Build cart,4,Sprint 13,P1,Repeat orders,KEY: One-click reorder
Dealer Portal,Order Management,Quick Order,Build quick order,Order history list,-,Create manager,2,Sprint 13,P1,History visible,
Dealer Portal,Order Management,Quick Order,Build quick order,Reorder button,-,Create manager,2,Sprint 13,P1,Reorder works,
Dealer Portal,Order Management,Order History,Build history,Create OrderHistory.tsx,OrderHistory.tsx,Build checkout,4,Sprint 13,P1,Orders listed,
Dealer Portal,Order Management,Order History,Build history,Order list with status,-,Create history,2,Sprint 13,P1,List displays,
Dealer Portal,Order Management,Order History,Build history,Filter by status,-,Create history,2,Sprint 13,P1,Filters work,
Dealer Portal,Order Management,Order History,Build history,Search orders,-,Create history,2,Sprint 13,P1,Search works,
Dealer Portal,Order Management,Tracking,Build tracking,Shipment tracking,-,Build history,4,Sprint 13,P1,Track shipments,KEY: Real-time tracking
Dealer Portal,Order Management,Tracking,Build tracking,Create ShipmentHistoryTracker.tsx,ShipmentHistoryTracker.tsx,Build tracking,3,Sprint 13,P1,History visible,
Dealer Portal,Order Management,Tracking,Build tracking,Create ShippingCarrierIntegration.tsx,ShippingCarrierIntegration.tsx,Build tracking,4,Sprint 13,P1,Carrier data,
Dealer Portal,Order Management,Tracking,Build tracking,Tracking links,-,Build integration,2,Sprint 13,P1,Links work,

Dealer Portal,Account Management,Billing,Build billing,Account statements,-,Build profile,3,Sprint 14,P2,Invoices visible,
Dealer Portal,Account Management,Billing,Build billing,Payment history,-,Build billing,3,Sprint 14,P2,Payments listed,
Dealer Portal,Account Management,Billing,Build billing,Download statements,-,Build billing,2,Sprint 14,P2,PDFs download,
Dealer Portal,Account Management,Credit,Build credit,Credit utilization display,-,Build profile,2,Sprint 14,P2,Credit visible,
Dealer Portal,Account Management,Credit,Build credit,Credit widget,-,Build credit,2,Sprint 14,P2,Widget displays,
Dealer Portal,Delivery Management,Preferences,Build preferences,Create DeliveryPreferenceManager.tsx,DeliveryPreferenceManager.tsx,Build profile,3,Sprint 14,P2,Preferences saved,
Dealer Portal,Delivery Management,Preferences,Build preferences,Default address,-,Create manager,2,Sprint 14,P2,Default works,
Dealer Portal,Delivery Management,Preferences,Build preferences,Delivery notes,-,Create manager,2,Sprint 14,P2,Notes saved,
Dealer Portal,Delivery Management,Scheduling,Build scheduling,Create DeliveryWindowScheduler.tsx,DeliveryWindowScheduler.tsx,Build preferences,3,Sprint 14,P2,Window requested,
Dealer Portal,Delivery Management,Scheduling,Build scheduling,Create ShipmentReschedulingManager.tsx,ShipmentReschedulingManager.tsx,Build scheduling,3,Sprint 14,P2,Reschedule works,
Dealer Portal,Delivery Management,Scheduling,Build scheduling,Create ShipmentScheduleManager.tsx,ShipmentScheduleManager.tsx,Build scheduling,3,Sprint 14,P2,Schedule managed,
Dealer Portal,Delivery Management,POD,Build POD viewer,Create ProofOfDeliveryViewer.tsx,ProofOfDeliveryViewer.tsx,Build tracking,2,Sprint 14,P2,POD visible,
Dealer Portal,Delivery Management,POD,Build POD viewer,Signature display,-,Create viewer,2,Sprint 14,P2,Signature displays,

Mobile App,Mobile Foundation,React Native Setup,Initialize project,Create RN project,-,None,3,Sprint 11,P1,App builds,Expo or bare RN
Mobile App,Mobile Foundation,React Native Setup,Initialize project,Setup navigation,-,Create project,3,Sprint 11,P1,Navigation works,React Navigation
Mobile App,Mobile Foundation,Authentication,Mobile auth,Secure token storage,-,Setup navigation,4,Sprint 11,P1,Auth works on mobile,
Mobile App,Mobile Foundation,Authentication,Mobile auth,Biometric login,-,Token storage,3,Sprint 11,P2,Face/Touch ID,
Mobile App,Mobile Foundation,API Client,Build API client,REST client for API,-,Setup auth,3,Sprint 11,P1,API calls work,
Mobile App,Mobile Foundation,API Client,Build API client,Offline queue,-,Build client,3,Sprint 12,P1,Works offline,
Mobile App,Residential Mobile,TM Dashboard,Build mobile dashboard,Key metrics view,-,Build API client,4,Sprint 12,P1,Dashboard renders,
Mobile App,Residential Mobile,TM Dashboard,Build mobile dashboard,Today's schedule,-,Build dashboard,3,Sprint 12,P1,Schedule visible,
Mobile App,Residential Mobile,TM Dashboard,Build mobile dashboard,Quick actions,-,Build dashboard,3,Sprint 12,P1,Actions work,
Mobile App,Residential Mobile,Customer List,Build customer list,Mobile customer list,-,Build dashboard,4,Sprint 12,P1,Customers listed,
Mobile App,Residential Mobile,Customer List,Build customer list,Search functionality,-,Build list,2,Sprint 12,P1,Search works,
Mobile App,Residential Mobile,Customer List,Build customer list,Filter functionality,-,Build list,2,Sprint 12,P1,Filters work,
Mobile App,Residential Mobile,Customer Detail,Build customer detail,Mobile detail view,-,Build list,3,Sprint 12,P1,Details visible,
Mobile App,Residential Mobile,Activity Logging,Build activity logging,Quick activity add,-,Build detail,4,Sprint 12,P1,Quick logging,KEY: One-tap activity
Mobile App,Residential Mobile,Activity Logging,Build activity logging,Activity type selection,-,Build logging,2,Sprint 12,P1,Types available,
Mobile App,Residential Mobile,Activity Logging,Build activity logging,Notes field,-,Build logging,2,Sprint 12,P1,Notes captured,
Mobile App,Residential Mobile,Training,Build training completion,Mark complete mobile,-,Build logging,4,Sprint 13,P1,Mobile complete,KEY: One-tap complete
Mobile App,Residential Mobile,Training,Build training completion,Completion notes,-,Build training,2,Sprint 13,P1,Notes captured,
Mobile App,Residential Mobile,Training,Build training completion,Photo capture,-,Build training,2,Sprint 13,P1,Photos work,
Mobile App,Residential Mobile,Voice Notes,Build voice notes,Voice recording,-,Build logging,3,Sprint 13,P1,Recording works,
Mobile App,Residential Mobile,Voice Notes,Build voice notes,Speech-to-text,-,Voice recording,4,Sprint 13,P1,Voice notes,KEY: Replace MMC voice
Mobile App,Residential Mobile,Voice Notes,Build voice notes,Edit transcription,-,Speech-to-text,2,Sprint 13,P1,Editable,
Mobile App,Residential Mobile,Voice Notes,Build voice notes,Save to activity,-,Edit transcription,2,Sprint 13,P1,Notes saved,

Mobile App,Map Integration,Map View,Build map view,Customer pins on map,-,Build customer list,6,Sprint 15,P1,Replace MMC,KEY: Map My Customer replacement
Mobile App,Map Integration,Map View,Build map view,Cluster view,-,Build map,3,Sprint 15,P1,Clusters work,
Mobile App,Map Integration,Map View,Build map view,Customer details on tap,-,Build map,3,Sprint 15,P1,Details accessible,
Mobile App,Map Integration,Route Planning,Build route planning,Route optimization,-,Build map,5,Sprint 15,P1,Routes optimized,
Mobile App,Map Integration,Route Planning,Build route planning,Turn-by-turn nav,-,Route optimization,3,Sprint 15,P1,Nav works,
Mobile App,Map Integration,Route Planning,Build route planning,Multi-stop routes,-,Route optimization,3,Sprint 15,P1,Multiple stops,
Mobile App,Map Integration,Check-in,Build check-in,GPS check-in,-,Build map,3,Sprint 15,P1,Check-in works,
Mobile App,Map Integration,Check-in,Build check-in,Auto-log visit,-,GPS check-in,2,Sprint 15,P1,Visit logged,
Mobile App,Map Integration,Check-in,Build check-in,Location verification,-,GPS check-in,2,Sprint 15,P1,Location verified,

Admin,System Health,Integration Monitor,Build monitor,Create IntegrationStatusMonitor.tsx,IntegrationStatusMonitor.tsx,Build integrations,4,Sprint 10,P1,Status checks,
Admin,System Health,Dashboard,Build dashboard,Create SystemHealthMonitor.tsx,SystemHealthMonitor.tsx,Build monitor,4,Sprint 10,P1,All systems view,
Admin,System Health,Dashboard,Build dashboard,Uptime metrics,-,Create monitor,2,Sprint 10,P1,Uptime visible,
Admin,System Health,Dashboard,Build dashboard,Error rates,-,Create monitor,2,Sprint 10,P1,Errors tracked,
Admin,System Health,Alerts,Build alerts,System alert rules,-,Build dashboard,3,Sprint 10,P1,Alerts trigger,
Admin,System Health,Alerts,Build alerts,Email notifications,-,Alert rules,2,Sprint 10,P1,Alerts emailed,
Admin,System Health,Config,Build config,Create SystemConfigurationDashboard.tsx,SystemConfigurationDashboard.tsx,Build dashboard,4,Sprint 10,P2,Config manageable,
Admin,Data Quality,Duplicate Detection,Build detection,Fuzzy matching algorithm,-,Configure database,4,Sprint 11,P2,Duplicates found,
Admin,Data Quality,Duplicate Detection,Build detection,Duplicate review UI,-,Build detection,4,Sprint 11,P2,Review interface,
Admin,Data Quality,Data Cleanup,Build cleanup,Create DataQualityDashboard.tsx,DataQualityDashboard.tsx,Build detection,4,Sprint 11,P2,Cleanup tools,
Admin,Data Quality,Data Cleanup,Build cleanup,Merge duplicates,-,Create dashboard,3,Sprint 11,P2,Merge works,
Admin,Data Quality,Validation Rules,Build validation,Data validation rules,-,Configure database,3,Sprint 11,P2,Quality enforced,
Admin,Audit Trail,Activity Logging,Build logging,User activity tracking,-,Configure database,3,Sprint 9,P1,Actions tracked,
Admin,Audit Trail,Activity Logging,Build logging,Create UserActivityMonitor.tsx,UserActivityMonitor.tsx,Build logging,4,Sprint 9,P1,Activity visible,
Admin,Audit Trail,Audit Reports,Build reports,Audit report generation,-,Build logging,3,Sprint 9,P1,Reports work,
Admin,Audit Trail,Change History,Build history,Record change tracking,-,Build logging,3,Sprint 9,P1,Changes logged,
Admin,Backup,Backup Management,Build backup,Create BackupManagement.tsx,BackupManagement.tsx,Configure database,4,Sprint 10,P2,Backups work,

Digital Assets,Cloud Storage,Storage Setup,Setup S3/Azure,Create S3 bucket or Azure Blob container,-,Configure database,2,Sprint 8,P1,Storage accessible,Replaces Widen - Currie requirement
Digital Assets,Cloud Storage,Storage Setup,Setup S3/Azure,Configure bucket policies and permissions,-,Create bucket,2,Sprint 8,P1,Secure access,
Digital Assets,Cloud Storage,Storage Setup,Setup S3/Azure,Setup folder structure,-,Create bucket,1,Sprint 8,P1,Organized storage,By type: images docs videos
Digital Assets,Cloud Storage,CDN Setup,Setup CDN,Configure CloudFront or Azure CDN,-,Setup storage,3,Sprint 8,P1,Fast global delivery,
Digital Assets,Cloud Storage,CDN Setup,Setup CDN,Configure cache policies,-,Configure CDN,2,Sprint 8,P1,Cache rules set,
Digital Assets,Cloud Storage,CDN Setup,Setup CDN,Setup cache invalidation API,-,Configure CDN,2,Sprint 8,P1,Can bust cache on update,KEY: Update propagation

Digital Assets,Asset Model,Data Model,Create asset schema,Define Prisma Asset model,-,Setup storage,3,Sprint 8,P1,Schema migrated,id name type url currentVersion
Digital Assets,Asset Model,Data Model,Create asset schema,Add version history table,-,Define model,2,Sprint 8,P1,Version history tracked,AssetVersion table
Digital Assets,Asset Model,Data Model,Create asset schema,Add asset references table,-,Define model,2,Sprint 8,P1,References tracked,Where asset is used
